name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
三日月サンセット,Go To The Future,サカナクション,2007-05-09,227494,44,10,0,0.844,0.25,0.593,5.67e-06,0.0724,-7.628,0.0502,122.035,4,0.928
Future is Yours,Future is Yours,サンボマスター,2023-07-31,266400,54,11,0,0.543,0.00273,0.906,0.000769,0.143,-3.46,0.0746,93.97,4,0.418
ハイパーベンチレイション,携帯電話,RADWIMPS,2010-06-30,263586,44,6,0,0.558,0.000363,0.953,0.0,0.115,-3.092,0.0673,122.024,4,0.781
能動的三分間,スポーツ,東京事変,2010-02-24,180000,55,1,0,0.645,0.0247,0.854,1.76e-06,0.332,-3.632,0.0512,120.029,4,0.672
ハナノユメ,チャットモンチー BEST〜2005-2011〜,チャットモンチー,2005,214413,38,2,1,0.608,0.111,0.798,0.000211,0.142,-2.343,0.0322,132.392,4,0.69
crying march,魅力がすごいよ,ゲスの極み乙女,2014-09-18,202320,38,7,1,0.406,0.00931,0.881,2.8e-06,0.283,-3.119,0.0899,164.865,4,0.481
インフェルノ,Attitude,Mrs. GREEN APPLE,2019-10-01,211600,71,4,1,0.533,0.00894,0.918,0.0,0.643,-2.095,0.0616,92.504,4,0.662
夜の踊り子,sakanaction,サカナクション,2013-03-13,302920,45,7,1,0.559,0.029,0.78,0.000261,0.384,-5.362,0.0483,134.005,4,0.481
できっこないを やらなくちゃ,サンボマスター 究極ベスト,サンボマスター,2006,217920,61,9,1,0.409,7.58e-05,0.978,0.0,0.117,-2.63,0.0683,139.883,4,0.549
こどなの階段,こどなの階段,南波志帆,2011-06-15,296786,3,1,1,0.581,0.00111,0.937,0.00054,0.364,-3.154,0.0341,138.016,4,0.893
絶体絶命,スポーツ,東京事変,2010-02-24,186773,49,10,1,0.64,0.06,0.879,1.71e-05,0.0388,-2.733,0.0294,133.052,4,0.719
幸福論,幸福論,椎名林檎,1998-05-27,221800,51,5,1,0.546,0.0346,0.905,0.00975,0.701,-5.584,0.0516,133.027,4,0.619
デジタルモグラ,魅力がすごいよ,ゲスの極み乙女,2014-09-18,217440,37,0,0,0.619,0.0136,0.776,0.0,0.333,-4.58,0.0499,140.063,4,0.586
SPECIALZ,SPECIALZ,King Gnu,2023-09-01,238986,83,6,0,0.566,0.0663,0.85,0.0,0.319,-4.431,0.0599,117.048,4,0.722
ルーキー,DocumentaLy,サカナクション,2011-09-28,319779,39,9,1,0.459,0.0405,0.95,0.00325,0.139,-4.582,0.142,139.92,4,0.141
"光のロック(Live at 日本武道館 ,2017.12.3)","1st日本武道館 ～そのたてものに用がある～(Live at 日本武道館 ,2017.12.3)",サンボマスター,2021-06-09,243000,26,1,0,0.162,0.00297,0.995,0.000673,0.324,-1.576,0.165,189.406,4,0.147
恋,恋,星野 源,2016-10-05,253333,56,9,1,0.622,0.00121,0.795,0.0,0.151,-3.219,0.0408,157.993,4,0.907
電波通信,スポーツ,東京事変,2010-02-24,204847,41,2,1,0.494,0.000507,0.847,0.483,0.102,-4.401,0.0644,145.012,4,0.724
CHEERS,Attitude,Mrs. GREEN APPLE,2019-10-01,198813,65,7,1,0.636,0.072,0.807,0.0,0.265,-3.762,0.0509,133.049,4,0.594
オトナチック,両成敗,ゲスの極み乙女,2016-01-13,267026,44,1,0,0.679,0.299,0.809,3.71e-05,0.12,-3.284,0.04,138.158,4,0.805
Baby's Alright,But wait. Cats?,[Alexandros],2022-07-13,163466,45,6,1,0.364,0.00476,0.862,0.0,0.0532,-4.204,0.185,72.586,4,0.731
月の椀,アダプト,サカナクション,2022-03-30,250000,48,2,0,0.773,0.068,0.604,9.26e-06,0.4,-5.369,0.057,132.021,4,0.869
ミラクルをキミとおこしたいんです,終わらないミラクルの予感アルバム,サンボマスター,2013-10-09,209601,44,0,1,0.528,0.00406,0.942,1.03e-06,0.313,-3.258,0.283,165.93,4,0.712
Week End,YELLOW DANCER,星野 源,2015-12-02,270466,53,9,1,0.715,0.0426,0.762,6.67e-06,0.284,-6.9,0.0727,132.998,4,0.73
一服,音楽,東京事変,2021-06-09,134066,46,7,1,0.762,0.0126,0.622,0.0,0.0776,-5.485,0.0533,119.966,4,0.403
カメレオン,カメレオン,King Gnu,2022-02-28,193990,70,0,1,0.628,0.643,0.533,0.0,0.0733,-7.235,0.0417,79.953,4,0.459
猟奇的なキスを私にして,魅力がすごいよ,ゲスの極み乙女,2014-09-18,237440,47,2,1,0.675,0.0372,0.702,0.0,0.052,-3.152,0.0418,137.989,4,0.835
春愁,"Love me, Love you",Mrs. GREEN APPLE,2018-02-14,183800,69,10,1,0.724,0.0121,0.444,0.0,0.123,-4.903,0.0412,129.962,4,0.739
蓮の花 -single version-,834.194,サカナクション,2019-06-19,285000,36,7,1,0.563,0.27,0.729,0.00323,0.138,-5.907,0.0342,105.986,4,0.462
これで自由になったのだ,サンボマスターは君に語りかける,サンボマスター,2005-01-19,199826,30,4,0,0.265,5.27e-05,0.972,2.39e-06,0.269,-1.929,0.089,103.955,4,0.398
創造,創造,星野 源,2021-02-17,234166,52,10,0,0.724,0.00617,0.808,0.000199,0.315,-4.877,0.0756,95.007,4,0.836
群青日和,教育,東京事変,2004-11-25,213266,53,9,1,0.105,4.26e-05,0.96,0.269,0.0843,0.028,0.0629,180.798,4,0.333
"Hello,world!",Butterflies,BUMP OF CHICKEN,2016-02-10,248453,58,8,1,0.597,0.00409,0.913,2.53e-05,0.405,-5.448,0.0321,105.541,4,0.713
無垢な季節,両成敗,ゲスの極み乙女,2016-01-13,211786,35,6,1,0.533,0.562,0.819,0.00396,0.148,-4.468,0.0646,177.957,4,0.769
ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,76,7,1,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.0468,109.976,4,0.784
モノクロトウキョー,DocumentaLy,サカナクション,2011-09-28,237100,37,6,0,0.594,0.0041,0.603,0.000797,0.0244,-5.256,0.0345,136.0,4,0.704
可能性,サンボマスターとキミ,サンボマスター,2015-05-13,310560,41,0,0,0.493,0.0012,0.874,0.0,0.0626,-3.2,0.0689,100.086,4,0.47
Hello Song,POP VIRUS,星野 源,2018-12-19,254133,50,7,1,0.607,0.000209,0.887,7.26e-06,0.285,-2.601,0.042,121.953,4,0.889
今夜はから騒ぎ,color bars,東京事変,2012,222320,37,7,0,0.557,0.00128,0.785,0.0,0.119,-4.698,0.0278,132.982,4,0.831
Leaving Grapefruits,ALXD,[Alexandros],2015-06-17,248333,37,6,1,0.667,0.136,0.789,0.0,0.0675,-5.596,0.0338,101.042,4,0.81
私以外私じゃないの,両成敗,ゲスの極み乙女,2016-01-13,232613,53,0,0,0.668,0.0851,0.907,0.000172,0.0943,-2.995,0.0478,136.009,4,0.748
ロマンチシズム,Attitude,Mrs. GREEN APPLE,2019-10-01,213613,66,10,1,0.598,0.0038,0.878,0.0,0.0468,-3.144,0.0634,125.529,4,0.901
プラトー,アダプト,サカナクション,2022-03-30,265866,43,1,0,0.48,0.0105,0.817,2.76e-05,0.284,-5.206,0.133,162.053,4,0.519
オレたちのすすむ道を悲しみで閉ざさないで,YES,サンボマスター,2017-05-10,233866,27,0,1,0.558,0.00023,0.965,0.397,0.371,-3.093,0.0691,108.002,4,0.498
