name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
唱,唱,Ado,2023-09-06,189772,78,10,0,0.616,0.172,0.975,1.62e-06,0.143,-0.425,0.208,132.054,4,0.742
SPECIALZ,SPECIALZ,King Gnu,2023-09-01,238986,85,6,0,0.566,0.0663,0.85,0.0,0.319,-4.431,0.0599,117.048,4,0.722
アイドル,THE BOOK 3,YOASOBI,2023-10-04,211733,62,10,0,0.457,0.105,0.941,1.38e-06,0.437,-2.692,0.0917,165.783,4,0.876
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,184400,97,11,1,0.802,0.311,0.832,0.0,0.0815,-4.107,0.0434,124.997,4,0.89
勇者,THE BOOK 3,YOASOBI,2023-10-04,194266,64,5,1,0.655,0.0351,0.907,1.37e-05,0.15,-3.868,0.0488,103.968,4,0.506
青のすみか,青のすみか,キタニタツヤ,2023-07-07,196466,84,1,1,0.479,0.0134,0.898,0.0,0.297,-4.809,0.169,151.99,4,0.639
ランデヴー,誘拐 / ランデヴー,シャイトープ,2023-04-25,237739,76,2,1,0.497,0.117,0.649,0.0,0.17,-4.76,0.0325,146.056,4,0.317
怪獣の花唄,strobo,Vaundy,2020-05-27,224804,65,2,1,0.335,0.00334,0.943,0.0,0.324,-3.176,0.067,75.093,4,0.64
Magic,ANTENNA,Mrs. GREEN APPLE,2023-07-04,263106,74,7,1,0.671,0.0604,0.758,0.0,0.332,-3.793,0.0474,117.51,4,0.537
3D (feat. Jack Harlow),3D : The Remixes,Jung Kook,2023-10-02,201812,83,1,1,0.853,0.0322,0.824,0.0,0.0859,-3.287,0.103,108.044,4,0.888
ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,77,7,1,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.0468,109.976,4,0.784
I'm a mess,X,MY FIRST STORY,2022-08-24,251333,73,6,0,0.485,0.0068,0.946,0.0,0.289,-3.721,0.11,130.059,4,0.621
fake face dance music,fake face dance music,音田 雅則,2023-07-11,151015,75,1,1,0.812,0.0875,0.64,0.0,0.396,-8.034,0.0564,116.992,4,0.893
Subtitle,Subtitle,Official髭男dism,2022-10-12,305509,75,6,1,0.649,0.0313,0.683,0.0,0.118,-6.49,0.0424,130.0,4,0.381
青と夏,Attitude,Mrs. GREEN APPLE,2019-10-01,270026,74,4,1,0.31,0.00157,0.891,0.0,0.284,-1.66,0.0469,184.886,4,0.748
燈,i 触れる SAD UFO,崎山蒼志,2023-08-09,239106,71,5,1,0.645,0.27,0.72,0.0,0.277,-4.515,0.0355,127.052,4,0.634
美しい鰭,ひみつスタジオ,スピッツ,2023-05-17,211920,73,1,1,0.545,0.0107,0.913,0.00029,0.245,-3.565,0.0298,98.047,4,0.747
ケセラセラ,ANTENNA,Mrs. GREEN APPLE,2023-07-04,272226,72,6,0,0.756,0.0306,0.578,0.0,0.0534,-4.575,0.0327,115.004,4,0.677
ただ君に晴れ,負け犬にアンコールはいらない,ヨルシカ,2018-05-09,198971,76,5,1,0.679,0.343,0.834,5.74e-06,0.119,-3.223,0.032,139.996,4,0.962
