name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
DREAMY PLANET,DREAMY PLANET,Aice room,2020-04-03,183250,29,6,0,0.437,0.0174,0.961,0.00027,0.295,-2.103,0.0631,119.443,5,0.393
nevergreen,Harmony.,MOTTO MUSIC,2021-03-28,198949,28,3,1,0.647,0.00897,0.936,5.71e-05,0.145,-4.809,0.265,100.007,4,0.474
ヨノナカ,ヨノナカ,PSYQUI,2023-07-12,85304,33,6,0,0.62,0.00177,0.953,0.0153,0.243,-4.157,0.0551,114.971,4,0.939
表参道26時,kikUUiki,サカナクション,2010-03-17,255391,38,11,1,0.625,0.002,0.859,0.0141,0.0367,-5.355,0.0537,137.958,4,0.962
すごい速さ,andymori,andymori,2009-02-04,86280,49,9,1,0.539,0.00726,0.891,0.0,0.102,-3.321,0.085,92.246,4,0.854
綺羅キラー,沈香学,ずっと真夜中でいいのに。,2023-06-06,253133,59,7,0,0.634,0.363,0.979,1.57e-06,0.354,-2.061,0.121,142.043,4,0.651
メトロポリタン,"NAKIGOTO,",なきごと,2023-01-11,215145,36,11,1,0.549,0.00451,0.86,0.105,0.152,-3.561,0.0646,165.974,4,0.717
コズミック都市ハイウェイ,WotoHacker The Best,Neko Hacker,2023-03-15,153247,17,0,1,0.485,0.0472,0.942,0.0237,0.513,-3.932,0.0973,179.921,4,0.503
絶体絶命,スポーツ,東京事変,2010-02-24,186773,50,10,1,0.64,0.06,0.879,1.71e-05,0.0388,-2.733,0.0294,133.052,4,0.719
消えてしまいそうです,沈香学,ずっと真夜中でいいのに。,2023-06-06,258466,53,5,1,0.667,0.355,0.929,3.01e-06,0.158,-3.168,0.0453,105.973,4,0.873
crying march,魅力がすごいよ,ゲスの極み乙女,2014-09-18,202320,41,7,1,0.406,0.00931,0.881,2.8e-06,0.283,-3.119,0.0899,164.865,4,0.481
サイコロジック,ジーニアース,をとは,2021-05-08,236198,18,6,1,0.566,0.0406,0.972,0.155,0.244,-3.164,0.0816,174.028,4,0.782
セントレイ,セントレイ,サカナクション,2008-12-10,228849,45,1,0,0.479,0.000428,0.904,2.83e-06,0.323,-2.534,0.0633,138.047,4,0.627
Sunset Tea Cup,Frequency Blitz 5,ヴァリアス・アーティスト,2017-05-22,187288,36,2,1,0.527,0.0157,0.966,0.00204,0.105,-2.563,0.0606,160.049,4,0.547
Connected World,Connected World,somunia,2018-10-28,193910,28,10,0,0.644,0.172,0.942,2.75e-05,0.365,-2.796,0.042,159.948,4,0.783
Digital Life Hacker,jelly girl,をとは,2020-03-01,206200,26,8,1,0.572,0.0117,0.944,0.00308,0.364,-2.818,0.0721,160.068,4,0.872
One by One,Synchronicity,KOTONOHOUSE,2020-10-21,217124,23,5,1,0.488,0.0159,0.918,0.0,0.35,-3.428,0.063,170.027,4,0.42
charlotte aux framboises - colate+kamome sano Remix,Pâtisserie kamome,kamome sano,2018-04-29,187880,27,2,1,0.65,0.313,0.892,0.000631,0.196,-2.213,0.0441,115.803,4,0.764
