name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
表参道26時,kikUUiki,サカナクション,2010-03-17,255391,38,11,1,0.625,0.002,0.859,0.0141,0.0367,-5.355,0.0537,137.958,4,0.962
ロマンスがありあまる,両成敗,ゲスの極み乙女,2016-01-13,224640,55,5,1,0.513,0.246,0.886,5.49e-05,0.0961,-3.851,0.0623,169.896,4,0.573
できっこないを やらなくちゃ,サンボマスター 究極ベスト,サンボマスター,2006,217920,61,9,1,0.409,7.58e-05,0.978,0.0,0.117,-2.63,0.0683,139.883,4,0.549
中川翔子,中川翔子,中川翔子,2023-09-13,238726,29,6,0,0.753,0.0168,0.924,0.0,0.336,-5.212,0.14,127.035,4,0.72
アイタリナイ,アイタリナイ,MAISONdes,2023-01-13,162366,61,11,0,0.617,0.122,0.959,0.0,0.198,-2.836,0.0938,167.06,4,0.88
閃光少女,スポーツ,東京事変,2010-02-24,177266,55,11,1,0.366,0.000349,0.775,0.000256,0.123,-4.495,0.0549,167.91,4,0.414
消えてしまいそうです,沈香学,ずっと真夜中でいいのに。,2023-06-06,258466,51,5,1,0.667,0.355,0.929,3.01e-06,0.158,-3.168,0.0453,105.973,4,0.873
リンカーネーション,するどいささくれ,チョーキューメイ,2022-06-01,265986,32,9,0,0.515,0.0618,0.859,0.0,0.313,-2.494,0.0357,98.984,3,0.438
はしゃぎすぎた街の中で僕は一人遠回りした,好きなら問わない,ゲスの極み乙女,2018-08-29,228560,48,0,0,0.624,0.0747,0.68,2.09e-05,0.132,-6.585,0.0366,139.941,4,0.516
ソングオブザデッド,ソングオブザデッド,KANA-BOON,2023-09-20,196440,44,2,1,0.429,0.00298,0.973,1.9e-05,0.158,-2.69,0.179,169.122,4,0.385
開花,Go To The Future,サカナクション,2007-05-09,208540,29,9,1,0.709,0.227,0.714,0.00161,0.115,-7.297,0.031,128.018,4,0.856
藍二乗,だから僕は音楽を辞めた,ヨルシカ,2019-04-10,245903,64,6,1,0.589,0.0946,0.89,7.56e-05,0.199,-4.328,0.0644,105.066,4,0.488
ブルーアンビエンス,ブルーアンビエンス,Mrs. GREEN APPLE,2022-06-13,250773,69,0,0,0.647,0.0337,0.906,0.0,0.116,-3.803,0.0374,106.485,4,0.73
絶体絶命,スポーツ,東京事変,2010-02-24,186773,50,10,1,0.64,0.06,0.879,1.71e-05,0.0388,-2.733,0.0294,133.052,4,0.719
ラブソング,LOVE: AMPLIFIED,キタニタツヤ,2023-06-14,164917,59,1,0,0.658,0.0233,0.89,1.19e-05,0.293,-4.089,0.0515,172.011,4,0.822
crying march,魅力がすごいよ,ゲスの極み乙女,2014-09-18,202320,39,7,1,0.406,0.00931,0.881,2.8e-06,0.283,-3.119,0.0899,164.865,4,0.481
恋,恋,星野 源,2016-10-05,253333,56,9,1,0.622,0.00121,0.795,0.0,0.151,-3.219,0.0408,157.993,4,0.907
アルペジオ,Sleepless in Brooklyn,[Alexandros],2018-11-21,231253,51,1,1,0.51,0.00269,0.925,0.0126,0.31,-3.687,0.0585,107.982,4,0.495
血流,the meaning of life,yama,2021-08-30,208093,59,10,0,0.743,0.201,0.718,0.0,0.319,-3.766,0.0336,136.979,4,0.897
目が明く藍色,kikUUiki,サカナクション,2010-03-17,414832,38,4,1,0.36,0.00736,0.549,0.00012,0.0852,-5.288,0.0334,150.857,4,0.293
能動的三分間,スポーツ,東京事変,2010-02-24,180000,56,1,0,0.645,0.0247,0.854,1.76e-06,0.332,-3.632,0.0512,120.029,4,0.672
CHEERS,Attitude,Mrs. GREEN APPLE,2019-10-01,198813,66,7,1,0.636,0.072,0.807,0.0,0.265,-3.762,0.0509,133.049,4,0.594
人生の針,ストリーミング、CD、レコード,ゲスの極み乙女,2020-05-01,246218,43,6,1,0.664,0.0365,0.84,5.98e-06,0.164,-5.444,0.0348,127.042,4,0.849
Hello Song,POP VIRUS,星野 源,2018-12-19,254133,50,7,1,0.607,0.000209,0.887,7.26e-06,0.285,-2.601,0.042,121.953,4,0.889
ワタリドリ,ALXD,[Alexandros],2015-06-17,248706,65,9,1,0.508,0.00141,0.964,0.0,0.197,-4.077,0.0831,134.982,4,0.609
bathroom,bathroom,MAISONdes,2023-09-27,211266,50,7,1,0.635,0.0251,0.619,0.0,0.31,-5.744,0.0277,90.038,4,0.729
勇者,勇者,YOASOBI,2023-09-29,194164,72,5,1,0.641,0.047,0.887,1.36e-05,0.171,-4.665,0.0443,104.015,4,0.501
電波通信,スポーツ,東京事変,2010-02-24,204847,41,2,1,0.494,0.000507,0.847,0.483,0.102,-4.401,0.0644,145.012,4,0.724
三日月サンセット,Go To The Future,サカナクション,2007-05-09,227494,44,10,0,0.844,0.25,0.593,5.67e-06,0.0724,-7.628,0.0502,122.035,4,0.928
私以外私じゃないの,両成敗,ゲスの極み乙女,2016-01-13,232613,54,0,0,0.668,0.0851,0.907,0.000172,0.0943,-2.995,0.0478,136.009,4,0.748
インフェルノ,Attitude,Mrs. GREEN APPLE,2019-10-01,211600,71,4,1,0.533,0.00894,0.918,0.0,0.643,-2.095,0.0616,92.504,4,0.662
憧れのままに,憧れのままに,yama,2023-09-20,204600,64,6,0,0.69,0.0972,0.946,0.0,0.253,-3.659,0.0534,143.985,4,0.778
